DateTimeStmp,Year,DayOfWeek,DayOfMonth,DayOfYear,WeekOfYear,Hour,Month,season,space_id,Time,Electricity,NaturalGas,Steam,Temperature,HDD,CDD,Total,Elec_Baseload,Total_Baseload
201201010000,2012,1,1,1,0,0,1,winter,1,2012-01-01 00:00:00,,27.5135305643,,2.65,2.5583333333,0,,,
201201010400,2012,1,1,1,0,4,1,winter,1,2012-01-01 04:00:00,,13.7058493931,,2.9333333333,2.5104166667,0,,,
201201010800,2012,1,1,1,0,8,1,winter,1,2012-01-01 08:00:00,,70.1661309427,,4.3,2.2833333333,0,,,
201201011200,2012,1,1,1,0,12,1,winter,1,2012-01-01 12:00:00,,97.3142357259,,5.4,2.1,0,,,
201201011600,2012,1,1,1,0,16,1,winter,1,2012-01-01 16:00:00,,96.2392852716,,4.225,2.2958333333,0,,,
201201012000,2012,1,1,1,0,20,1,winter,1,2012-01-01 20:00:00,,62.2619665686,,2.675,2.5541666667,0,,,
201201020000,2012,2,2,2,0,0,1,winter,1,2012-01-02 00:00:00,,11.6248995224,,2.775,2.5375,0,,,
201201020400,2012,2,2,2,0,4,1,winter,1,2012-01-02 04:00:00,,8.693215812,,2.625,2.5625,0,,,
201201020800,2012,2,2,2,0,8,1,winter,1,2012-01-02 08:00:00,,80.0076779154,,4.05,2.325,0,,,
201201021200,2012,2,2,2,0,12,1,winter,1,2012-01-02 12:00:00,,124.5060851486,,7.6666666667,1.7729166667,0,,,
201201021600,2012,2,2,2,0,16,1,winter,1,2012-01-02 16:00:00,,126.0683627221,,9.04,1.5166666667,0,,,
201201022000,2012,2,2,2,0,20,1,winter,1,2012-01-02 20:00:00,,96.4909668235,,7.7833333333,1.6979166667,0,,,
201201030000,2012,3,3,3,0,0,1,winter,1,2012-01-03 00:00:00,,16.3187610229,,8.075,1.6541666667,0,,,
201201030400,2012,3,3,3,0,4,1,winter,1,2012-01-03 04:00:00,,8.85625,,7.24,1.8083333333,0,,,
201201030800,2012,3,3,3,0,8,1,winter,1,2012-01-03 08:00:00,,73.833786128,,8.14,1.6458333333,0,,,
201201031200,2012,3,3,3,0,12,1,winter,1,2012-01-03 12:00:00,,95.023456212,,8.15,1.6416666667,0,,,
201201031600,2012,3,3,3,0,16,1,winter,1,2012-01-03 16:00:00,,100.0791112755,,8.05,1.6583333333,0,,,
201201032000,2012,3,3,3,0,20,1,winter,1,2012-01-03 20:00:00,,61.6882457435,,8.15,1.6416666667,0,,,
201201040000,2012,4,4,4,0,0,1,winter,1,2012-01-04 00:00:00,,8.9626542253,,9.9,1.34375,0,,,
201201040400,2012,4,4,4,0,4,1,winter,1,2012-01-04 04:00:00,,6.6543146719,,9.26,1.4166666667,0,,,
201201040800,2012,4,4,4,0,8,1,winter,1,2012-01-04 08:00:00,,79.7184323131,,8.75,1.5416666667,0,,,
201201041200,2012,4,4,4,0,12,1,winter,1,2012-01-04 12:00:00,,93.4993722262,,9.2666666667,1.4625,0,,,
201201041600,2012,4,4,4,0,16,1,winter,1,2012-01-04 16:00:00,,90.6964515774,,9.475,1.4208333333,0,,,
201201042000,2012,4,4,4,0,20,1,winter,1,2012-01-04 20:00:00,,56.7665521207,,8.675,1.5541666667,0,,,
201201050000,2012,5,5,5,0,0,1,winter,1,2012-01-05 00:00:00,,6.0769290621,,7.74,1.7166666667,0,,,
201201050400,2012,5,5,5,0,4,1,winter,1,2012-01-05 04:00:00,,3.7090277778,,7.1,1.8166666667,0,,,
201201050800,2012,5,5,5,0,8,1,winter,1,2012-01-05 08:00:00,,76.9017708333,,6.775,1.8708333333,0,,,
201201051200,2012,5,5,5,0,12,1,winter,1,2012-01-05 12:00:00,,90.7020012393,,7.95,1.675,0,,,
201201051600,2012,5,5,5,0,16,1,winter,1,2012-01-05 16:00:00,,92.2155471441,,6.325,1.9458333333,0,,,
201201052000,2012,5,5,5,0,20,1,winter,1,2012-01-05 20:00:00,,69.7164446721,,4.55,2.2416666667,0,,,
201201060000,2012,6,6,6,0,0,1,winter,1,2012-01-06 00:00:00,,4.9958333333,,4,2.3333333333,0,,,
201201060400,2012,6,6,6,0,4,1,winter,1,2012-01-06 04:00:00,,5.1472222222,,2.7,2.55,0,,,
201201060800,2012,6,6,6,0,8,1,winter,1,2012-01-06 08:00:00,,89.193549721,,3.275,2.4541666667,0,,,
201201061200,2012,6,6,6,0,12,1,winter,1,2012-01-06 12:00:00,,106.9456301999,,4.28,2.29375,0,,,
201201061600,2012,6,6,6,0,16,1,winter,1,2012-01-06 16:00:00,,115.8153246409,,3.775,2.3708333333,0,,,
201201062000,2012,6,6,6,0,20,1,winter,1,2012-01-06 20:00:00,,109.6545128511,,3.8,2.3666666667,0,,,
201201070000,2012,7,7,7,1,0,1,winter,1,2012-01-07 00:00:00,,32.606309968,,3.95,2.3416666667,0,,,
201201070400,2012,7,7,7,1,4,1,winter,1,2012-01-07 04:00:00,,5.0607142857,,3.64,2.39375,0,,,
201201070800,2012,7,7,7,1,8,1,winter,1,2012-01-07 08:00:00,,71.3933269892,,3.925,2.3458333333,0,,,
201201071200,2012,7,7,7,1,12,1,winter,1,2012-01-07 12:00:00,,88.8271866666,,3.9,2.3520833333,0,,,
201201071600,2012,7,7,7,1,16,1,winter,1,2012-01-07 16:00:00,,119.9560576719,,4.1333333333,2.3104166667,0,,,
201201072000,2012,7,7,7,1,20,1,winter,1,2012-01-07 20:00:00,,95.4915659698,,4.775,2.2041666667,0,,,
201201080000,2012,1,8,8,1,0,1,winter,1,2012-01-08 00:00:00,,16.126307147,,5.3625,2.10625,0,,,
201201080400,2012,1,8,8,1,4,1,winter,1,2012-01-08 04:00:00,,5.3891416667,,5.7571428571,2.0458333333,0,,,
201201080800,2012,1,8,8,1,8,1,winter,1,2012-01-08 08:00:00,,61.5959627055,,6.15,1.9770833333,0,,,
201201081200,2012,1,8,8,1,12,1,winter,1,2012-01-08 12:00:00,,98.2585528166,,7.8333333333,1.6854166667,0,,,
201201081600,2012,1,8,8,1,16,1,winter,1,2012-01-08 16:00:00,,120.2049157855,,7.1,1.8145833333,0,,,
